7.541018768600860067e-01;1.010019120435038076e+01
7.657973775367015179e-01;6.109869824098196567e+00
7.471797929629127033e-01;9.933042354553046849e+00
7.580810866029905615e-01;1.018316332884327124e+01
7.380180541266274652e-01;1.139648958053726169e+01
7.187084654932971439e-01;1.047349039244332936e+01
7.316512841672089262e-01;1.163092029772317915e+01
7.419572599309037786e-01;1.177308951621920841e+01
8.083609705471498375e-01;4.431426981722393066e+01
9.429728571427327122e-01;4.806142857153127323e+01
8.014856819090395712e-01;3.661980202918266514e+01
7.912504068581172056e-01;4.328064198224609527e+01
7.834687131253734726e-01;1.516516522330588934e+01
7.858367043635129390e-01;2.908835755962199343e+01
8.135376666662599288e-01;4.428861111120543370e+01
8.018605777843745841e-01;3.897483420325654890e+01
